Integer_Percentile,Result_N
1,0.2
2,0.21
3,0.22
4,0.22
5,0.23
6,0.24
7,0.25
8,0.26
9,0.27
10,0.28
11,0.29
12,0.29
13,0.3
14,0.3
15,0.31
16,0.31
17,0.32
18,0.32
19,0.32
20,0.33
21,0.33
22,0.33
23,0.34
24,0.34
25,0.35
26,0.35
27,0.35
28,0.36
29,0.36
30,0.36
31,0.36
32,0.37
33,0.37
34,0.37
35,0.38
36,0.38
37,0.38
38,0.39
39,0.39
40,0.4
41,0.4
42,0.4
43,0.4
44,0.41
45,0.41
46,0.41
47,0.41
48,0.42
49,0.42
50,0.42
51,0.43
52,0.43
53,0.43
54,0.43
55,0.43
56,0.44
57,0.44
58,0.44
59,0.44
60,0.45
61,0.45
62,0.45
63,0.46
64,0.46
65,0.46
66,0.46
67,0.47
68,0.47
69,0.47
70,0.48
71,0.48
72,0.49
73,0.5
74,0.5
75,0.5
76,0.51
77,0.51
78,0.51
79,0.52
80,0.52
81,0.53
82,0.53
83,0.53
84,0.53
85,0.54
86,0.54
87,0.55
88,0.55
89,0.55
90,0.56
91,0.56
92,0.57
93,0.57
94,0.58
95,0.59
96,0.6
97,0.6
98,0.61
99,0.65
100,0.68
