Position,Draft,Percentile,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
Center,FIRST ROUND,0,79.25,206.4,84.5,107,8.5,8.5,23.5,27.5,12.85,3.61,3.57,4
Center,FIRST ROUND,0.01,79.6,210.92,84.815,107.3,8.5,8.605,23.56,27.56,12.808,3.5848,3.5616,4.03
Center,FIRST ROUND,0.02,79.95,215.44,85.13,107.6,8.5,8.71,23.62,27.62,12.766,3.5596,3.5532,4.06
Center,FIRST ROUND,0.03,80.3,219.96,85.445,107.9,8.5,8.815,23.68,27.68,12.724,3.5344,3.5448,4.09
Center,FIRST ROUND,0.04,80.65,224.48,85.76,108.2,8.5,8.92,23.74,27.74,12.682,3.5092,3.5364,4.12
Center,FIRST ROUND,0.05,81,229,86.0375,108.5,8.5125,9,23.8,27.8,12.64,3.484,3.528,4.15
Center,FIRST ROUND,0.06,81.05,229.08,86.195,108.6,8.565,9,23.86,27.86,12.598,3.4588,3.5196,4.18
Center,FIRST ROUND,0.07,81.1,229.16,86.3525,108.7,8.6175,9,23.92,27.92,12.556,3.4336,3.5112,4.21
Center,FIRST ROUND,0.08,81.15,229.24,86.51,108.8,8.67,9,23.98,27.98,12.514,3.4084,3.5028,4.24
Center,FIRST ROUND,0.09,81.2,229.32,86.6675,108.9,8.7225,9,24.04,28.08,12.468,3.3928,3.5,4.27
Center,FIRST ROUND,0.1,81.25,229.4,86.775,109,8.75,9.05,24.1,28.2,12.42,3.382,3.5,4.3
Center,FIRST ROUND,0.11,81.25,229.44,86.8275,109,8.75,9.155,24.16,28.32,12.372,3.3712,3.5,4.33
Center,FIRST ROUND,0.12,81.25,229.48,86.88,109,8.75,9.26,24.22,28.44,12.324,3.3604,3.5,4.36
Center,FIRST ROUND,0.13,81.25,229.52,86.9325,109,8.75,9.365,24.28,28.56,12.276,3.3496,3.5,4.39
Center,FIRST ROUND,0.14,81.25,229.56,86.985,109,8.75,9.47,24.34,28.68,12.228,3.3388,3.5,4.42
Center,FIRST ROUND,0.15,81.25,229.6,87,109,8.7875,9.5,24.4,28.8,12.18,3.328,3.5,4.45
