Draft,Position,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
ALL,Center,81.25,220.4,85.75,109.5,9.25,9.5,28,34,11.5,2.9,3.3,NA
ALL,Forward,79.5,197.8,81,104.5,8.25,9.8,27,33.5,11,3,3.2,NA
FIRST ROUND,Forward,79.5,203,84.5,107,8.5,9,28,35,11,3,3,NA
ALL,Guard,75.75,191,82.25,103,9.75,9,28,34,11,3,3,NA
LOTTERY,Guard,77.75,202,77.25,101.5,8.5,9.3,28,34,11,3,3,NA
LOTTERY,Forward,81.25,249,84.25,108.5,9.25,10.3,25,28,12,3,3,NA
FIRST ROUND,Forward,78.5,215,83.75,106,8.5,9.5,31,40,11,3,3,NA
ALL,Guard,76.75,182,82,102.5,8.75,9.3,32,36,11,3,3,NA
ALL,Guard,74,199,76,97.5,8.25,9.8,30,37,11,3,3,NA
FIRST ROUND,Guard,77.25,202,80,102.5,8.25,8.5,31,36,11,3,3,NA
ALL,Forward,83.25,222,84.75,107.5,9.25,9.8,30,35,12,3,3,NA
FIRST ROUND,Guard,77.25,213,86.25,106,9.25,10,33,39,11,3,3,NA
ALL,Guard,80.25,199,82.25,105.5,8.25,9.3,27,32,11,3,3,NA
ALL,Forward,79.5,259,83.5,104,8.75,10,28,33,12,3,3,NA
FIRST ROUND,Guard,76,193,79.5,101.5,8.5,9.5,30,39,11,3,3,NA
FIRST ROUND,Guard,74.5,180,77.25,98.5,8.25,9.3,33,37,11,3,3,NA
FIRST ROUND,Forward,79.75,221,84,106.5,8.75,9.8,29,36,11,3,3,NA
ALL,Guard,74,172,78,98,8.5,9,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,80.25,232,89.25,109,9.5,9.5,27,33,11,3,3,NA
ALL,Center,84,253,89.25,111,9.5,11.8,27,30,12,3,4,NA
ALL,Guard,74.25,189,78.5,97.5,8.5,9.5,28,32,12,3,3,NA
FIRST ROUND,Guard,76.5,213,82.5,102,9.25,9.3,31,37,11,3,3,NA
ALL,Guard,77.5,193,78.5,99.5,8,8,30,37,10,3,3,NA
ALL,Guard,76.75,205,79.75,99.5,8.5,9.8,29,35,11,3,3,NA
LOTTERY,Guard,76.5,218,78.5,100,8.25,9.3,32,40,11,3,3,NA
FIRST ROUND,Guard,76.75,190,82.25,101,8.5,8,32,38,10,3,3,NA
LOTTERY,Guard,75.25,202,78,100.5,8.25,8.5,25,32,11,3,3,NA
LOTTERY,Center,85,257,90,112,9.25,11.3,29,33,12,3,3,NA
ALL,Forward,77,214,82.25,102.5,9,9.5,32,40,11,3,3,NA
FIRST ROUND,Guard,77,219,78.25,101.5,8.5,9.8,NA,NA,NA,NA,NA,NA
ALL,Center,83.25,242.6,87.25,111,9.5,9,33.5,37,11.5,2.8,3.2,NA
LOTTERY,Guard,75.75,206,81,101.5,8.5,9.8,33,39,11,3,3,NA
ALL,Forward,80.5,234.6,88,108.5,9.25,10,25.5,31.5,11.7,3.1,3.3,NA
ALL,Forward,77.75,210,82.5,103.5,9,10,31.5,38,11.2,3,3.1,NA
FIRST ROUND,Center,84.75,252.8,90.75,114,9.75,10.3,24,30,12.1,3.4,3.5,NA
LOTTERY,Guard,73.5,208.4,79.5,99.5,8.25,9.3,29.5,38,11.1,3.1,3.1,NA
FIRST ROUND,Forward,78.75,214.6,80.5,99.5,8.75,10,30.5,36.5,11.1,2.8,3.2,NA
ALL,Forward,79.5,216.4,82.25,103,9,9.3,27.5,33,12,2.9,3.4,NA
ALL,Forward,78.25,203.4,82.25,104.5,9,9.5,32.5,39,11.7,3.1,3,NA
FIRST ROUND,Forward,78.5,239.2,84.75,106,8.5,10.3,29.5,34.5,11.2,2.9,3.2,NA
ALL,Forward,82,229.8,84,109,9,9.8,27,30,10.5,2.6,3.2,NA
ALL,Guard,71,175.8,74.25,94,9.5,8.3,26.5,32.5,11.5,2.9,3.2,NA
FIRST ROUND,Forward,81,223.8,83.25,107.5,9.25,10,29.5,36.5,11,2.8,3.3,NA
LOTTERY,Forward,80.75,230.2,83.25,107.5,10,9,23.5,31,11.9,3,3.5,NA
ALL,Guard,76.25,212.6,80.5,101.5,8.5,9.5,27.5,35,10.9,2.9,3.2,NA
ALL,Guard,78.25,200.8,81.75,104,8.5,9,24.5,32.5,10.6,3,3.3,NA
LOTTERY,Forward,78.25,211.6,79.25,101,8.5,8.8,30.5,35.5,10.9,3.1,3.1,NA
ALL,Guard,72.25,168.8,77.5,96,8.25,8.5,31,42,10.6,3,3.2,NA
ALL,Guard,74.75,174.6,78.25,99.5,8.5,9,28.5,32.5,11.5,3.1,3.2,NA
FIRST ROUND,Forward,77.25,200.4,84,103,8.75,10,37.5,43,10.7,2.8,3.1,NA
LOTTERY,Guard,76.25,183.2,79.25,100.5,8.25,9,30.5,36.5,10.8,3,3.2,NA
FIRST ROUND,Center,81.25,247.8,84.5,109.5,9,9.5,23.5,28,12.5,3.3,3.5,NA
LOTTERY,Center,84.25,236.8,85.25,110,9,10.3,28,31.5,11.3,3.2,3.2,NA
FIRST ROUND,Guard,72.5,178.4,78,98.5,8.5,9.5,30.5,38,11,3.1,3.2,NA
FIRST ROUND,Forward,80.25,185.6,80.75,104,8.5,9,27.5,32,11.7,3.1,3.2,NA
ALL,Forward,83,221.4,84.75,108,9,9.3,29.5,32.5,11.4,3,3.1,NA
ALL,Guard,75.75,181.4,82,100,8.5,9.8,31,37.5,11,2.9,3.2,NA
LOTTERY,Forward,79,203.2,80.25,103,8.5,9.3,30,36,11,3,3.2,NA
ALL,Guard,70.75,183.4,74,92.5,8,8.8,31,37.5,11,3.3,3.3,NA
LOTTERY,Guard,76.25,206.4,77.75,99,8,9.8,29.5,34.5,11.4,3.1,3.2,NA
LOTTERY,Guard,73,190,76.75,96,8.25,9.8,33,40.5,10.7,2.9,3.1,NA
FIRST ROUND,Center,81.25,262.8,90,109,8.5,9,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,78.25,218.4,84,104.5,9,10.3,NA,NA,NA,NA,NA,NA
LOTTERY,Guard,76.75,211.8,81,102.5,9,9.5,30,37,11.1,3.2,3.2,NA
LOTTERY,Forward,79.75,222.8,82.75,104.5,9,10.3,26.5,31.5,11.4,2.9,3.2,NA
ALL,Guard,75.25,186.4,77.25,97.5,7.75,9,26.5,35,10.9,2.9,3.2,NA
LOTTERY,Forward,77,214.6,83.25,102.5,9.25,9.8,31.5,37,11.2,3.2,3.1,NA
ALL,Guard,77.25,205.8,82.75,103,9,10.8,27.5,32.5,11.2,3,3.2,NA
ALL,Forward,76.5,236,78.5,101,9,10.5,24,30,11.7,3,3.3,NA
FIRST ROUND,Forward,82.5,251.8,86.25,109,9.25,9.8,24,30,11.3,2.9,3.5,NA
ALL,Center,85,252.6,86.75,111,10,11.3,26,30,11.8,3,3.4,NA
LOTTERY,Center,87,257,88.75,114.5,9,9.8,27.5,31.5,11.9,3,3.5,NA
ALL,Forward,77.8,227.8,84.8,106.5,9.5,9.8,27,34.5,12,3.17,3.21,NA
ALL,Forward,79.3,213.8,79.5,106.5,8.5,9.8,26.5,31,12,3,3.38,NA
ALL,Guard,75.3,187,82.5,101.5,9,10,27,32,11,3,3,NA
ALL,Guard,73.3,196.4,78.5,100,9,9,30,37,11,3,3,NA
LOTTERY,Center,80.3,243.2,87.8,108,10,10,35,40,11,3,3,NA
ALL,Forward,81.3,215,87.8,108.5,9,10,33,41,11,3,3,NA
ALL,Forward,78.8,213.4,82,105,9,10,25,32,11,3,3,NA
FIRST ROUND,Forward,80.8,197,82,105.5,9,9,31,38,11,3,3,NA
ALL,Guard,75.8,194.8,80,99,9,9,29,37,11.28,3,3,NA
FIRST ROUND,Guard,74.3,193,80.8,98,9,9,35,42,10.63,3,3,NA
FIRST ROUND,Guard,77.5,210,81,102,9,9,29,37,10.93,3,3,NA
LOTTERY,Center,82.3,232.4,88,109,9,10,29,36,11.74,3,3,NA
LOTTERY,Guard,76.5,190.4,80,101.5,8,8,33,36,11.07,3,3,NA
FIRST ROUND,Center,85.8,282,90.8,115,10,10,26,29,12.06,3,3,NA
FIRST ROUND,Guard,74.5,204.6,76.8,97.5,9,9,30,34,10.77,3,3,NA
FIRST ROUND,Forward,80.3,216.8,82.3,104.5,9,10,29,36,10.81,3,3,NA
FIRST ROUND,Forward,79.8,216.8,81,107.5,9,9,29,36,11.84,3,3,NA
ALL,Center,82,260.2,90,111,9,10,27,33,11.55,3,3,NA
ALL,Guard,73,164.2,75,95,8,8,NA,NA,NA,NA,NA,NA
LOTTERY,Forward,79,208.8,80,102.5,9,10,28,35,10.63,3,3,NA
FIRST ROUND,Forward,78.3,213.6,85.5,103,9,10,32,39,10.99,3,3,NA
FIRST ROUND,Center,87.8,299,94.8,115,10,11,26,32,11.19,3,3,NA
ALL,Center,83.5,236,89,111,9,10,31,36,11.24,3,3,NA
ALL,Forward,78,209.4,82,102.5,9,9,28,33,12.07,3,3,NA
ALL,Guard,72.8,185,79,98,9,10,32,40,11.98,3,3,NA
LOTTERY,Forward,82.8,229.8,82.5,107,9,10,27,33,11.43,3,3,NA
ALL,Forward,78.5,201.4,80.3,100.5,9,10,35,42,11.01,3,3,NA
LOTTERY,Forward,79.3,212,86,108,9,10,31,35,10.99,3,3,NA
LOTTERY,Forward,79.5,188.8,80,104.5,8,10,26,32,11.15,3,3,NA
FIRST ROUND,Forward,79,208.8,82.3,105,9,10.3,27,32,11.9,2.91,3.32,NA
ALL,Forward,77.8,215.2,83.8,104,8.75,9.3,NA,NA,NA,NA,NA,NA
ALL,Center,80.3,239.6,85.5,103.5,9,9.8,32.5,39.5,11.76,3.01,3.35,NA
ALL,Forward,80.3,215.2,84,107,8.75,8.8,24,29.5,12.05,3.21,3.3,NA
ALL,Forward,78.5,196.8,82.8,104,8.75,9,30,38,11.1,2.91,3.1,NA
ALL,Center,80.8,236.2,85,108,8.75,9,27.5,34,11.2,3.03,3.25,NA
LOTTERY,Center,82.8,246.2,86.5,111,9.25,10.3,NA,NA,NA,NA,NA,NA
LOTTERY,Center,81.5,222,83,104.5,9,10,35,39.5,11.25,3.12,3.09,NA
LOTTERY,Forward,77.3,233.6,84.3,102.5,9,10.3,29,35,11.36,2.94,3.17,NA
LOTTERY,Guard,73.5,210.4,79.3,98.5,8.5,9.5,32,40.5,10.96,3.02,3.09,NA
FIRST ROUND,Guard,76.3,167,80.5,102,8.5,8.5,29,38,10.76,2.87,3.15,NA
ALL,Forward,78.3,224,82.3,103,9.25,10.8,31.5,42,11.38,3.02,3.03,NA
ALL,Forward,75.5,211.2,78.8,100,8.5,9.5,28,34.5,11.08,3.3,3.2,NA
FIRST ROUND,Forward,76.5,236.8,83,100.5,9,9.3,26.5,33.5,11.08,2.82,3.25,NA
ALL,Center,79.8,235,87,108,9.25,10.3,29,35,11.49,3,3.38,NA
ALL,Forward,78.5,219.2,83,106.5,8.75,9.3,22.5,32,11.23,NA,3.2,NA
LOTTERY,Forward,80.8,212.2,83,106.5,8.75,10,26.5,32.5,11.49,3.21,3.23,NA
FIRST ROUND,Forward,77.3,212.2,81,103.5,8.5,9.5,31,39,10.56,2.79,3.07,NA
LOTTERY,Guard,73.3,196.6,74.8,95,8.25,9.5,27,34,10.97,3.08,3.27,NA
LOTTERY,Guard,77.3,212.4,79.5,102,8.75,10.3,30.5,38,11.15,2.91,3.06,NA
FIRST ROUND,Guard,74,203.2,75.5,98,8.25,9.5,25.5,33,10.87,3.07,3.23,NA
LOTTERY,Forward,77.3,205.8,81,103,8.75,9.5,NA,NA,NA,NA,NA,NA
FIRST ROUND,Center,82.8,229.4,86,109.5,9.5,10,31,38.5,11.45,3.12,3.12,NA
LOTTERY,Guard,75.3,197,78.3,101,8.5,8.5,28,33.5,11.12,2.95,3.11,NA
LOTTERY,Forward,78.3,217.2,86,108.5,8.75,8.8,31.5,37.5,11.14,3.07,3.02,NA
LOTTERY,Guard,75.3,191.8,78.8,100,8.5,9,25,32.5,10.96,2.84,3.24,NA
LOTTERY,Guard,76,205.6,78.5,102,8.5,9.5,22,29,11.47,3.1,3.41,NA
LOTTERY,Center,84,244.4,86.5,112,9.25,10,24,27,11.48,3.03,3.4,NA
LOTTERY,Guard,76.5,186.6,80.3,100.5,9,10,29,36,11.44,3.16,3.14,NA
FIRST ROUND,Forward,80.5,194.6,81.5,107,8.5,8.8,25,31,11.51,2.97,3.38,NA
ALL,Guard,76.8,188.6,83.3,103,9,9.5,29.5,34,11.39,3.06,3.17,NA
ALL,Forward,80.8,217.4,85.5,110,8.5,9.8,27.5,32,11.45,3.05,3.37,NA
ALL,Forward,78.3,212,80,104,8.5,9,22,28,11.57,2.84,3.43,NA
ALL,Center,83.8,224.2,88.3,110,9,10,30.5,37,11.43,3.23,3.27,NA
FIRST ROUND,Forward,78.3,201.6,80.3,102.5,9.25,9.8,27.5,32,10.89,2.94,3.09,NA
