Percentile,Nordic Force,Nordic Imbalance,Adduction Force,Abduction Force,Adduction Imbalance,Abduction Imbalance,Adduction:Abduction Ratio,Reactive Strength Index,Contact Time
0.01,177,22.7,213,202,14.5,15.8,0.52,0.88,0.68
0.02,202,21.8,216,255,14,13.6,0.56,0.94,0.65
0.03,220,20.5,236,268,13.8,13.4,0.57,1,0.61
0.04,241,19.6,240,276,13.2,12.5,0.58,1.02,0.6
0.05,251,19.2,254,280,12.1,11.1,0.59,1.05,0.6
0.06,264,18.4,257,293,12,10.9,0.6,1.07,0.59
0.07,275,18,260,293,11.5,10.8,0.62,1.09,0.58
0.08,285,17.7,264,293,10.5,10.3,0.62,1.1,0.57
0.09,291,17.2,266,294,10,9.8,0.63,1.11,0.57
0.1,296,16.3,275,294,9.7,9.7,0.64,1.12,0.56
0.11,299,15.9,281,300,9.6,9.6,0.64,1.13,0.56
0.12,302,15.4,284,301,9.1,9.6,0.65,1.14,0.55
0.13,304,14.9,286,304,8.9,9.6,0.71,1.15,0.55
0.14,308,14.6,291,308,8.7,9.3,0.73,1.16,0.55
0.15,310,14,295,309,8.5,8.8,0.75,1.17,0.54
0.16,312,13.8,299,310,8.2,8.8,0.75,1.18,0.54
0.17,316,12.8,300,311,8,8.8,0.76,1.19,0.53
0.18,318,12.5,301,313,8,8.7,0.77,1.19,0.53
0.19,320,12.3,305,314,7.9,8.7,0.78,1.21,0.53
0.2,321,12.1,307,322,7.8,8.5,0.78,1.22,0.53
0.21,325,11.7,310,323,7.8,8.3,0.81,1.23,0.52
0.22,327,11.4,311,325,7.7,8.3,0.82,1.24,0.52
0.23,330,11,312,326,7.5,7.7,0.83,1.25,0.51
0.24,333,10.9,313,327,7.4,7.4,0.84,1.26,0.51
0.25,336,10.7,314,327,7.2,7.2,0.84,1.27,0.51
0.26,337,10.6,315,328,7,6.9,0.85,1.28,0.5
0.27,340,10.1,315,328,6.6,6.8,0.85,1.29,0.5
0.28,341,10,316,329,6.4,6.5,0.85,1.3,0.5
0.29,343,9.7,319,331,6.2,5.9,0.86,1.32,0.49
0.3,347,9.5,321,332,6.2,5.8,0.87,1.33,0.48
0.31,350,9.2,326,335,6.2,5.7,0.87,1.35,0.48
0.32,353,9.1,327,336,6.1,5.7,0.87,1.36,0.47
0.33,354,9,329,339,6,5.7,0.88,1.37,0.47
0.34,355,8.9,331,341,6,5.6,0.88,1.37,0.47
0.35,358,8.7,331,343,5.9,5.5,0.88,1.38,0.46
0.36,360,8.6,332,344,5.8,5.4,0.89,1.39,0.46
0.37,363,8.3,333,345,5.8,5.3,0.89,1.4,0.46
0.38,367,8.2,334,347,5.8,5.3,0.91,1.41,0.46
0.39,370,8,335,351,5.7,5,0.91,1.43,0.45
0.4,374,7.9,336,352,5.6,4.7,0.91,1.43,0.45
