Position,Draft,Percentile,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
Center,ALL,0.0,78.5,208.0,82.25,103.5,8.5,8.8,19.5,22.5,13.4,3.47,4.0,1.0
Center,ALL,0.01,78.7225,208.89,82.9175,105.7,8.5,8.88,20.64,24.4,13.3392,3.4675000000000002,3.848,1.57
Center,ALL,0.02,78.945,211.73,83.39,106.0,8.5,8.96,21.26,25.26,13.3148,3.465,3.7895999999999996,2.0
Center,ALL,0.03,79.1675,215.24699999999999,83.5,106.32,8.55,9.0,21.5,25.64,13.2792,3.4625,3.7576,2.0
Center,ALL,0.04,79.27799999999999,216.6,83.78,106.76,8.65,9.0,21.5,26.02,13.1984,3.46,3.6996,2.0
Center,ALL,0.05,79.3,218.31,84.1125,107.2,8.75,9.0,21.5,26.4,13.168,3.46,3.692,2.0
Center,ALL,0.06,79.453,221.114,84.335,107.5,8.75,9.120000000000001,21.78,26.5,13.076,3.46,3.6844,2.0
Center,ALL,0.07,79.7615,222.845,84.615,107.58,8.75,9.24,22.16,26.5,12.978,3.46,3.664,2.0
Center,ALL,0.08,79.824,224.024,85.0,108.0,8.75,9.3,22.54,26.5,12.9092,3.46,3.63,2.0
Center,ALL,0.09,80.0,224.214,85.0,108.0,8.75,9.3,22.92,26.5,12.9016,3.435,3.63,2.26
Center,ALL,0.1,80.0,225.46,85.0,108.0,8.75,9.3,23.0,26.8,12.882,3.41,3.624,3.4000000000000004
Center,ALL,0.11,80.1975,226.706,85.0,108.0,8.75,9.38,23.0,27.0,12.8628,3.385,3.62,4.2700000000000005
Center,ALL,0.12,80.28399999999999,230.4,85.0,108.0,8.75,9.46,23.0,27.0,12.8428,3.36,3.6176,4.84
Center,ALL,0.13,80.414,232.114,85.0,108.22,8.75,9.5,23.0,27.0,12.797199999999998,3.3575,3.6024000000000003,5.41
Center,ALL,0.14,80.5,233.488,85.115,108.5,8.75,9.5,23.32,27.32,12.777199999999999,3.355,3.6,5.98
Center,ALL,0.15,80.5875,235.0,85.25,108.5,8.75,9.5,23.5,27.5,12.762,3.3525,3.596,6.0
Center,ALL,0.16,80.75,235.24,85.31,108.5,8.85,9.5,23.5,27.5,12.75,3.35,3.59,6.0
Center,ALL,0.17,80.75,236.0,85.5,108.5,8.95,9.5,23.5,27.5,12.75,3.34,3.59,6.0
Center,ALL,0.18,80.751,236.004,85.5,108.5,9.0,9.5,23.5,27.5,12.7296,3.33,3.5764,6.26
Center,ALL,0.19,80.7955,236.182,85.5,108.5,9.0,9.5,23.72,27.5,12.7024,3.3200000000000003,3.5656,6.83
Center,ALL,0.2,80.8,236.51999999999998,85.7,108.5,9.0,9.5,24.0,27.6,12.666,3.31,3.56,7.0
Center,ALL,0.21,80.938,236.876,85.75,108.74,9.0,9.5,24.0,27.98,12.6128,3.31,3.56,7.0
Center,ALL,0.22,81.0,237.0,85.779,109.0,9.0,9.5,24.0,28.0,12.6028,3.31,3.5528,7.0
Center,ALL,0.23,81.0,237.094,85.894,109.0,9.0,9.56,24.0,28.0,12.5808,3.31,3.55,7.110000000000001
Center,ALL,0.24,81.0,237.272,86.0,109.0,9.0,9.68,24.119999999999997,28.119999999999997,12.5576,3.31,3.55,7.68
Center,ALL,0.25,81.0625,237.55,86.0,109.0,9.0,9.8,24.5,28.5,12.55,3.3075,3.55,8.0
Center,ALL,0.26,81.25,238.112,86.035,109.0,9.0,9.8,24.5,28.880000000000003,12.5272,3.3049999999999997,3.5347999999999997,8.0
Center,ALL,0.27,81.25,238.824,86.25,109.0,9.0,9.8,24.5,29.0,12.509599999999999,3.3024999999999998,3.5195999999999996,8.0
Center,ALL,0.28,81.25,239.536,86.25,109.0,9.0,9.840000000000002,24.5,29.14,12.4916,3.3,3.51,8.0
Center,ALL,0.29,81.4525,240.734,86.4525,109.0,9.0,9.92,24.54,29.5,12.467600000000001,3.3,3.5096,8.0
Center,ALL,0.3,81.5,241.0,86.5,109.2,9.0,10.0,25.3,29.5,12.422,3.3,3.502,8.0
Center,ALL,0.31,81.6475,241.0,86.5,109.5,9.0,10.0,25.5,29.78,12.4044,3.3,3.5,8.0
Center,ALL,0.32,81.75,241.288,86.5,109.5,9.0,10.0,25.66,30.0,12.4,3.3,3.4936,8.0
Center,ALL,0.33,81.75,241.748,86.5,109.5,9.0,10.0,26.0,30.0,12.3976,3.295,3.4792,8.0
Center,ALL,0.34,81.75,242.0,86.5,109.5,9.0,10.0,26.0,30.0,12.374799999999999,3.29,3.4716,8.0
Center,ALL,0.35000000000000003,81.7875,242.09,86.5375,109.5,9.0,10.0,26.0,30.0,12.34,3.2849999999999997,3.47,8.0
Center,ALL,0.36,82.0,242.61599999999999,86.75,109.5,9.0,10.0,26.0,30.0,12.3164,3.28,3.4664,8.52
Center,ALL,0.37,82.0,242.972,86.75,109.5,9.0,10.0,26.0,30.0,12.3088,3.2775,3.46,9.0
Center,ALL,0.38,82.0,243.164,86.791,109.5,9.0,10.0,26.0,30.0,12.301200000000001,3.275,3.46,9.0
Center,ALL,0.39,82.0,243.91,86.942,109.5,9.0,10.0,26.0,30.32,12.2936,3.2725,3.4536000000000002,9.0
Center,ALL,0.4,82.0,244.32,87.0,109.6,9.0,10.0,26.200000000000003,30.5,12.286,3.27,3.45,9.0
Center,ALL,0.41000000000000003,82.0,244.69400000000002,87.0,110.0,9.0,10.0,26.5,30.5,12.2768,3.2675,3.4484,9.0
Center,ALL,0.42,82.0,245.38,87.0,110.0,9.0,10.0,26.5,30.5,12.2616,3.2649999999999997,3.4408,9.0
Center,ALL,0.43,82.0675,246.0,87.0,110.0,9.0,10.0,26.5,30.5,12.2532,3.2624999999999997,3.4332000000000003,9.509999999999998
Center,ALL,0.44,82.25,246.38400000000001,87.0,110.0,9.0,10.0,26.72,30.5,12.2104,3.26,3.4212000000000002,10.0
Center,ALL,0.45,82.25,248.43,87.0125,110.0,9.0,10.0,27.0,30.5,12.156,3.2525,3.408,10.0
Center,ALL,0.46,82.25,248.964,87.235,110.144,9.0,10.0,27.0,30.5,12.1408,3.245,3.4004,10.0
Center,ALL,0.47000000000000003,82.4575,249.0,87.25,110.372,9.0,10.0,27.0,30.5,12.14,3.2375,3.4,10.0
Center,ALL,0.48,82.5,249.288,87.43,110.5,9.05,10.0,27.0,30.5,12.1256,3.23,3.4,10.0
Center,ALL,0.49,82.5,249.644,87.5,110.5,9.15,10.0,27.0,30.62,12.100399999999999,3.23,3.4,10.0
Center,ALL,0.5,82.625,249.9,87.5,110.5,9.25,10.0,27.0,31.0,12.07,3.23,3.4,11.0
Center,ALL,0.51,82.75,250.156,87.5,110.94,9.25,10.0,27.0,31.0,12.07,3.23,3.3924000000000003,12.0
Center,ALL,0.52,82.75,251.016,87.64,111.0,9.25,10.0,27.26,31.0,12.044,3.23,3.39,12.0
Center,ALL,0.53,82.75,252.6,88.0,111.0,9.25,10.06,27.5,31.0,12.0144,3.1975,3.39,12.0
Center,ALL,0.54,82.765,252.624,88.0,111.0,9.25,10.180000000000001,27.5,31.0,11.9984,3.165,3.39,12.0
Center,ALL,0.55,82.9875,252.98,88.0,111.0,9.25,10.3,27.5,31.0,11.968,3.1325,3.39,12.350000000000001
Center,ALL,0.56,83.0,253.504,88.0,111.0,9.25,10.3,27.5,31.0,11.9544,3.1,3.39,12.920000000000002
Center,ALL,0.5700000000000001,83.0,254.622,88.0,111.0,9.25,10.3,27.5,31.0,11.940399999999999,3.0825,3.3868,13.0
Center,ALL,0.58,83.0,255.0,88.0,111.0,9.25,10.3,27.54,31.0,11.9184,3.065,3.38,13.0
Center,ALL,0.59,83.1275,256.02,88.1275,111.0,9.25,10.3,27.919999999999998,31.0,11.9032,3.0475,3.38,13.0
Center,ALL,0.6,83.25,257.32,88.25,111.0,9.25,10.3,28.0,31.0,11.882,3.03,3.38,13.0
Center,ALL,0.61,83.25,257.858,88.25,111.0,9.25,10.3,28.0,31.0,11.8592,3.025,3.3764,13.0
Center,ALL,0.62,83.25,258.0,88.25,111.0,9.25,10.3,28.0,31.0,11.8352,3.0199999999999996,3.37,13.339999999999996
Center,ALL,0.63,83.25,258.014,88.2535,111.0,9.25,10.3,28.0,31.0,11.8048,3.0149999999999997,3.37,13.910000000000004
Center,ALL,0.64,83.25,258.192,88.298,111.0,9.25,10.3,28.0,31.32,11.7808,3.01,3.3636,14.0
Center,ALL,0.65,83.25,258.2,88.47,111.1,9.25,10.3,28.0,31.7,11.766,3.0075,3.36,14.0
Center,ALL,0.66,83.25,258.792,88.685,111.5,9.350000000000001,10.3,28.0,32.0,11.76,3.005,3.3584,14.0
Center,ALL,0.67,83.4075,259.63,88.75,111.5,9.45,10.3,28.0,32.0,11.76,3.0025,3.3508,14.0
Center,ALL,0.68,83.5,260.104,88.88,111.5,9.5,10.3,28.340000000000003,32.34,11.7396,3.0,3.35,14.0
Center,ALL,0.6900000000000001,83.5,261.348,89.0,111.5,9.5,10.3,28.5,32.5,11.7036,3.0,3.35,14.330000000000005
Center,ALL,0.7000000000000001,83.5,263.3,89.0,111.5,9.5,10.3,28.5,32.5,11.67,3.0,3.348,14.900000000000006
Center,ALL,0.71,83.5,264.0,89.0,111.5,9.5,10.3,28.5,32.5,11.67,3.0,3.3404,15.0
Center,ALL,0.72,83.5,264.048,89.0,111.5,9.5,10.3,28.5,32.5,11.6556,3.0,3.34,15.0
Center,ALL,0.73,83.5,264.582,89.0,111.5,9.5,10.34,28.5,32.5,11.6164,3.0,3.3352,15.0
Center,ALL,0.74,83.5,265.80400000000003,89.0,111.56,9.5,10.42,28.62,32.5,11.5728,3.0,3.33,15.0
Center,ALL,0.75,83.5,266.0,89.0,112.0,9.5,10.5,29.0,32.5,11.55,3.0,3.33,15.0
Center,ALL,0.76,83.66,266.64,89.16,112.0,9.6,10.5,29.0,32.5,11.5348,3.0,3.33,15.0
Center,ALL,0.77,83.75,267.106,89.25,112.0,9.7,10.5,29.0,32.760000000000005,11.5144,3.0,3.33,15.0
Center,ALL,0.78,83.75,267.62,89.355,112.32,9.75,10.5,29.0,33.0,11.5,3.0,3.3272,15.0
Center,ALL,0.79,83.75,268.51,89.5,112.76,9.75,10.5,29.020000000000003,33.02,11.5,3.0,3.32,15.0
Center,ALL,0.8,83.75,269.56,89.5,113.0,9.75,10.5,29.400000000000002,33.400000000000006,11.5,3.0,3.32,15.0
Center,ALL,0.81,83.7545,271.18,89.52250000000001,113.0,9.75,10.5,29.5,33.5,11.4944,3.0,3.3144,15.170000000000002
