Integer_Percentile,Result_N
1,202
2,255
3,268
4,276
5,280
6,293
7,293
8,293
9,294
10,294
11,300
12,301
13,304
14,308
15,309
16,310
17,311
18,313
19,314
20,322
21,323
22,325
23,326
24,327
25,327
26,328
27,328
28,329
29,331
30,332
31,335
32,336
33,339
34,341
35,343
36,344
37,345
38,347
39,351
40,352
41,352
42,352
43,355
44,358
45,359
46,360
47,360
48,361
49,364
50,365
51,369
52,372
53,374
54,376
55,377
56,379
57,379
58,380
59,380
60,380
61,381
62,382
63,383
64,385
65,386
66,387
67,390
68,392
69,392
70,398
71,400
72,401
73,405
74,408
75,409
76,409
77,410
78,413
79,414
80,416
81,422
82,423
83,426
84,438
85,441
86,453
87,456
88,456
89,457
90,458
91,459
92,461
93,463
94,466
95,467
96,470
97,500
98,505
99,511
100,519
