Integer_Percentile,Result_N
100,15.8
99,13.6
98,13.4
97,12.5
96,11.1
95,10.9
94,10.8
93,10.3
92,9.8
91,9.7
90,9.6
89,9.6
88,9.6
87,9.3
86,8.8
85,8.8
84,8.8
83,8.7
82,8.7
81,8.5
80,8.3
79,8.3
78,7.7
77,7.4
76,7.2
75,6.9
74,6.8
73,6.5
72,5.9
71,5.8
70,5.7
69,5.7
68,5.7
67,5.6
66,5.5
65,5.4
64,5.3
63,5.3
62,5
61,4.7
60,4.6
59,4.6
58,4.6
57,4.6
56,4.5
55,4.4
54,4.2
53,4.2
52,4.1
51,4
50,3.9
49,3.9
48,3.9
47,3.9
46,3.9
45,3.7
44,3.5
43,3.3
42,3.1
41,3.1
40,3
39,2.9
38,2.9
37,2.9
36,2.9
35,2.8
34,2.4
33,2.2
32,2.2
31,3.2
30,2.1
29,2
28,1.7
27,1.7
26,1.7
25,1.7
24,1.5
23,1.3
22,1.2
21,1.1
20,1.1
19,1
18,1
17,1
16,0.9
15,0.7
14,0.7
13,0.7
12,0.6
11,0.5
10,0.4
9,0.4
8,0.4
7,0.3
6,0.3
5,0.3
4,0.2
3,0
2,0
1,0
