Integer_Percentile,Result_N
1,0.52
2,0.56
3,0.57
4,0.58
5,0.59
6,0.6
7,0.62
8,0.62
9,0.63
10,0.64
11,0.64
12,0.65
13,0.71
14,0.73
15,0.75
16,0.75
17,0.76
18,0.77
19,0.78
20,0.78
21,0.81
22,0.82
23,0.83
24,0.84
25,0.84
26,0.85
27,0.85
28,0.85
29,0.86
30,0.87
31,0.87
32,0.87
33,0.88
34,0.88
35,0.88
36,0.89
37,0.89
38,0.91
39,0.91
40,0.91
41,0.91
42,0.91
43,0.92
44,0.92
45,0.92
46,0.92
47,0.92
48,0.93
49,0.93
50,0.95
51,0.95
52,0.95
53,0.95
54,0.96
55,0.96
56,0.97
57,0.98
58,0.98
59,0.98
60,0.98
61,0.98
62,0.99
63,1
64,1
65,1
66,1
67,1.01
68,1.01
69,1.02
70,1.02
71,1.02
72,1.03
73,1.03
74,1.03
75,1.03
76,1.03
77,1.05
78,1.06
79,1.07
80,1.07
81,1.08
82,1.08
83,1.1
84,1.11
85,1.12
86,1.12
87,1.13
88,1.13
89,1.13
90,1.15
91,1.16
92,1.16
93,1.18
94,1.22
95,1.25
96,1.28
97,1.3
98,1.35
99,1.36
100,1.38
