Integer_Percentile,Result_N
1,213
2,216
3,236
4,240
5,254
6,257
7,260
8,264
9,266
10,275
11,281
12,284
13,286
14,291
15,295
16,299
17,300
18,301
19,305
20,307
21,310
22,311
23,312
24,313
25,314
26,315
27,315
28,316
29,319
30,321
31,326
32,327
33,329
34,331
35,331
36,332
37,333
38,334
39,335
40,336
41,337
42,338
43,338
44,338
45,338
46,339
47,342
48,349
49,350
50,351
51,353
52,354
53,354
54,354
55,357
56,363
57,365
58,366
59,372
60,373
61,376
62,379
63,388
64,389
65,390
66,390
67,390
68,395
69,396
70,397
71,398
72,398
73,407
74,408
75,412
76,414
77,416
78,417
79,418
80,418
81,420
82,430
83,435
84,436
85,437
86,439
87,439
88,442
89,443
90,447
91,449
92,454
93,463
94,464
95,467
96,492
97,501
98,503
99,517
100,552
