Integer_Percentile,Result_N
100,22.7
99,21.8
98,20.5
97,19.6
96,19.2
95,18.4
94,18
93,17.7
92,17.2
91,16.3
90,15.9
89,15.4
88,14.9
87,14.6
86,14
85,13.8
84,12.8
83,12.5
82,12.3
81,12.1
80,11.7
79,11.4
78,11
77,10.9
76,10.7
75,10.6
74,10.1
73,10
72,9.7
71,9.5
70,9.2
69,9.1
68,9
67,8.9
66,8.7
65,8.6
64,8.3
63,8.2
62,8
61,7.9
60,7.7
59,7.5
58,7.4
57,7.2
56,7
55,6.9
54,6.7
53,6.6
52,6.5
51,6.4
50,6.2
49,6.2
48,6.1
47,5.9
46,5.7
45,5.5
44,5.4
43,5.3
42,5.2
41,5
40,5
39,4.9
38,4.7
37,4.6
36,4.4
35,4.3
34,4.1
33,3.9
32,3.9
31,3.7
30,3.6
29,3.6
28,3.5
27,3.4
26,3.3
25,3.1
24,3
23,2.9
22,2.7
21,2.6
20,2.4
19,2.3
18,2.1
17,2
16,1.8
15,1.7
14,1.6
13,1.5
12,1.4
11,1.4
10,1.3
9,1.1
8,1
7,0.9
6,0.8
5,0.7
4,0.5
3,0.3
2,0.1
1,0
