Integer_Percentile,Result_N
1,177.0
2,202.0
3,220.0
4,241.0
5,251.0
6,264.0
7,275.0
8,285.0
9,291.0
10,296.0
11,299.0
12,302.0
13,304.0
14,308.0
15,310.0
16,312.0
17,316.0
18,318.0
20,321.0
21,325.0
22,327.0
23,330.0
24,333.0
25,336.0
26,337.0
27,340.0
28,341.0
29,343.0
30,347.0
31,350.0
32,353.0
33,354.0
34,355.0
35,358.0
36,360.0
37,363.0
38,367.0
39,370.0
40,374.0
41,378.0
42,381.0
43,383.0
44,387.0
45,392.0
46,395.0
47,397.0
48,402.0
49,403.0
50,407.0
51,408.0
52,410.0
53,412.0
54,415.0
55,419.0
56,421.0
57,423.0
58,425.0
59,426.0
60,427.0
61,429.0
62,430.0
63,434.0
64,436.0
65,439.0
66,442.0
67,444.0
68,447.0
69,449.0
70,451.0
71,455.0
72,458.0
73,461.0
74,463.0
75,466.0
76,468.0
77,471.0
78,473.0
79,476.0
80,478.0
81,480.0
82,483.0
83,484.0
84,487.0
85,491.0
86,493.0
87,497.0
88,501.0
89,508.0
90,516.0
91,521.0
92,530.0
93,536.0
94,541.0
95,546.0
96,553.0
97,557.0
98,577.0
99,589.0
100,626.0
