Position,Percentile,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vert,Max Vert,Lane Agility,Shuttle,Sprint,Bench
Center,0.0,78.5,206.4,82.25,103.5,8.5,7.8,19.5,22.5,13.4,3.61,4.0,1.0
Center,0.01,78.8475,208.0,83.0,105.07,8.5,7.982,21.075,25.0,13.3185,3.5396,3.7969999999999997,1.67
Center,0.02,79.195,208.78,83.4,106.0,8.5,8.41,21.5,25.15,13.277,3.4944,3.756,2.0
Center,0.03,79.2585,212.517,83.6,106.0,8.5,8.719000000000001,21.5,25.725,13.182,3.4816,3.6955,2.0
Center,0.04,79.3,214.84,84.15,106.26,8.5,8.928,21.8,26.3,13.07,3.4744,3.684,2.0
Center,0.05,79.7275,216.6,84.5,106.5,8.5,9.0,22.375,26.5,12.935,3.468,3.6425,2.0
Center,0.06,79.868,220.604,84.7,107.0,8.615,9.0,22.5,26.5,12.901,3.4616,3.63,2.0
Center,0.07,80.0,221.584,85.0,107.0,8.75,9.0,23.0,26.525,12.869,3.46,3.62,2.0
Center,0.08,80.256,222.06,85.0,107.5,8.75,9.0,23.0,27.0,12.85,3.4528,3.62,2.7200000000000006
Center,0.09,80.3,222.959,85.0,107.5,8.75,9.0,23.0,27.0,12.828999999999999,3.4144,3.613,4.0
Center,0.1,80.3,223.94,85.0,107.5,8.75,9.03,23.25,27.0,12.78,3.392,3.6,4.0
Center,0.11,80.5,224.606,85.0,108.0,8.75,9.3,23.5,27.325,12.757,3.38,3.5935,4.0
Center,0.12,80.5,226.552,85.2,108.0,8.75,9.3,23.5,27.5,12.75,3.38,3.59,4.039999999999999
Center,0.13,80.75,229.028,85.25,108.0,8.75,9.3,23.5,27.5,12.7215,3.3735999999999997,3.5709999999999997,4.710000000000001
Center,0.14,80.75,229.492,85.25,108.0,8.935,9.448,23.55,27.5,12.673,3.3608,3.569,5.0
Center,0.15,80.75,229.94,85.5,108.35,9.0,9.5,24.0,27.5,12.6075,3.354,3.56,5.049999999999999
Center,0.16,80.762,230.632,85.5,108.5,9.0,9.5,24.0,27.700000000000003,12.584,3.3452,3.556,5.720000000000001
Center,0.17,80.8,232.126,85.5,108.5,9.0,9.5,24.0,28.0,12.5545,3.3324000000000003,3.55,6.0
Center,0.18,81.0,232.40800000000002,85.75,108.5,9.0,9.5,24.0,28.0,12.529,3.3196,3.55,6.0
Center,0.19,81.0,233.12800000000001,85.75,108.5,9.0,9.5,24.0,28.0,12.52,3.31,3.533,6.0
Center,0.2,81.0,233.92,85.8,108.5,9.0,9.5,24.0,28.5,12.5,3.31,3.52,6.4
Center,0.21,81.0,235.0,86.0,108.5,9.0,9.5,24.5,29.0,12.4985,3.31,3.51,7.0
Center,0.22,81.0,235.58,86.0,108.5,9.0,9.5,24.5,29.0,12.484,3.3092,3.51,7.0
Center,0.23,81.0,236.0,86.0,108.5,9.0,9.5,24.5,29.0,12.443,3.3028,3.5055,7.0
Center,0.24,81.0,236.344,86.0,109.0,9.0,9.5,24.5,29.0,12.404,3.3,3.5,7.0
Center,0.25,81.1875,236.6,86.0,109.0,9.0,9.5,24.5,29.375,12.4,3.3,3.5,7.0
Center,0.26,81.25,236.828,86.25,109.0,9.0,9.698,24.950000000000003,29.5,12.373,3.3,3.5,7.420000000000002
Center,0.27,81.25,237.0,86.25,109.0,9.0,9.8,25.5,29.5,12.3195,3.3,3.5,8.0
Center,0.28,81.25,237.0,86.5,109.0,9.0,9.8,25.6,29.6,12.308,3.3,3.5,8.0
Center,0.29,81.25,237.262,86.5,109.0,9.0,9.8,26.0,30.0,12.2965,3.2944,3.5,8.0
Center,0.3,81.425,237.54,86.5,109.0,9.0,9.8,26.0,30.0,12.285,3.288,3.49,8.0
Center,0.31,81.5,238.072,86.5,109.0,9.0,9.8,26.0,30.0,12.267,3.2815999999999996,3.4735,8.0
Center,0.32,81.62,238.89600000000002,86.5,109.5,9.0,9.8,26.0,30.0,12.252,3.2752,3.47,8.0
Center,0.33,81.75,239.522,86.5,109.5,9.0,9.806000000000001,26.0,30.0,12.193,3.2688,3.47,8.0
Center,0.34,81.75,239.95600000000002,86.65,109.5,9.0,9.988,26.0,30.0,12.158,3.2624,3.46,8.0
Center,0.35000000000000003,81.75,240.79,86.75,109.5,9.0,10.0,26.0,30.0,12.14,3.256,3.46,8.0
Center,0.36,82.0,241.0,86.75,109.5,9.0,10.0,26.0,30.2,12.128,3.2492,3.456,8.119999999999997
Center,0.37,82.0,241.258,86.75,109.5,9.0,10.0,26.0,30.5,12.1045,3.2364,3.45,8.79
Center,0.38,82.0,241.6,86.84,109.5,9.0,10.0,26.35,30.5,12.086,3.23,3.443,9.0
Center,0.39,82.0,242.0,87.0,109.5,9.0,10.0,26.5,30.5,12.0715,3.23,3.44,9.0
Center,0.4,82.0,242.24,87.0,109.5,9.0,10.0,26.5,30.5,12.07,3.224,3.44,9.0
