Integer_Percentile,Result_N
1,0.88
2,0.94
3,1
4,1.02
5,1.05
6,1.07
7,1.09
8,1.1
9,1.11
10,1.12
11,1.13
12,1.14
13,1.15
14,1.16
15,1.17
16,1.18
17,1.19
18,1.19
19,1.21
20,1.22
21,1.23
22,1.24
23,1.25
24,1.26
25,1.27
26,1.28
27,1.29
28,1.3
29,1.32
30,1.33
31,1.35
32,1.36
33,1.37
34,1.37
35,1.38
36,1.39
37,1.4
38,1.41
39,1.43
40,1.43
41,1.45
42,1.45
43,1.46
44,1.46
45,1.47
46,1.48
47,1.5
48,1.5
49,1.51
50,1.52
51,1.53
52,1.54
53,1.56
54,1.57
55,1.58
56,1.59
57,1.6
58,1.61
59,1.62
60,1.64
61,1.65
62,1.66
63,1.67
64,1.68
65,1.7
66,1.7
67,1.72
68,1.73
69,1.75
70,1.76
71,1.77
72,1.78
73,1.81
74,1.83
75,1.85
76,1.86
77,1.87
78,1.9
79,1.92
80,1.93
81,1.95
82,1.97
83,2
84,2.02
85,2.04
86,2.06
87,2.1
88,2.12
89,2.14
90,2.17
91,2.2
92,2.22
93,2.28
94,2.32
95,2.41
96,2.49
97,2.56
98,2.64
99,2.69
100,2.79
